id,person_name,updated,reviewed,performance,potential,category,peformance_potential,feedback_sent,polarity,confidence,word_count
20051,Lacey Howard,True,True,Low,Low,1,1: Low : Low,Lacey's performance has been sub standard in the past 3 months.,NEGATIVE,0.7582571506500244,11
20051,Lacey Howard,True,True,Low,Low,1,1: Low : Low,She tries to take up too many tasks at the same time without realizing that she is yet to master the art of multitasking.,NEGATIVE,0.9976632595062256,24
20051,Lacey Howard,True,True,Low,Low,1,1: Low : Low,"Although she has delivered some results, they are much less than what her peers are able to achieve, given the exact same situation.",NEGATIVE,0.9999247789382935,23
20051,Lacey Howard,True,True,Low,Low,1,1: Low : Low,"Unless she improves a lot by taking advantage of a collaborative team, she may not be able to add any value to the business or worse, to herself.",NEGATIVE,0.9608065485954285,28
20057,Amy Jones,True,True,Low,Low,1,1: Low : Low,Amy struggles at her work a lot.,NEGATIVE,0.9951565265655518,7
20057,Amy Jones,True,True,Low,Low,1,1: Low : Low,Shes always off task and late for work.,NEGATIVE,0.909928023815155,8
20057,Amy Jones,True,True,Low,Low,1,1: Low : Low,"If she could overcome that, she may have a chance of making a better career.",NEGATIVE,0.9892815351486206,15
20057,Amy Jones,True,True,Low,Low,1,1: Low : Low,But overall she needs a lot of work,NEGATIVE,0.9208002090454102,8
20058,Amy Jones,True,True,Low,Low,1,1: Low : Low,Amy Jones is a nice person and she is dedicated in her work but she is more of a hard worker.,NEGATIVE,0.7529489398002625,21
20058,Amy Jones,True,True,Low,Low,1,1: Low : Low,She is one of the inconsistent with her work.,NEGATIVE,0.9985209107398987,9
20058,Amy Jones,True,True,Low,Low,1,1: Low : Low,She lack some potential that leads to some low performance.,NEGATIVE,0.9996415376663208,10
20058,Amy Jones,True,True,Low,Low,1,1: Low : Low,She needs to concentrate more in the work to achieve great things.,NEGATIVE,0.9977703094482422,12
20059,Amy Jones,True,True,Low,Low,1,1: Low : Low,Amy Jones needs to become a better player.,NEGATIVE,0.9891775250434875,8
20059,Amy Jones,True,True,Low,Low,1,1: Low : Low,She goes threw a lot of up and downs.,NEGATIVE,0.7742352485656738,9
20059,Amy Jones,True,True,Low,Low,1,1: Low : Low,Her performance needs some work.,NEGATIVE,0.9682536721229553,5
20059,Amy Jones,True,True,Low,Low,1,1: Low : Low,It seems that she may have reached her full growth as a player.,POSITIVE,0.9253848195075989,13
20060,Amy Jones,True,True,Low,Low,1,1: Low : Low,Amy is able to focus on the task at hand only in short bursts of time.,NEGATIVE,0.5248386263847351,16
20060,Amy Jones,True,True,Low,Low,1,1: Low : Low,This continuous partial attention without long time focus is taking a huge toll on her output affecting delivery timelines.,POSITIVE,0.913820207118988,19
20060,Amy Jones,True,True,Low,Low,1,1: Low : Low,She should focus on speed and accuracy but balance both.,NEGATIVE,0.9874840378761292,10
20060,Amy Jones,True,True,Low,Low,1,1: Low : Low,"With her, it's either fast output with lots of errors or defect free output that is delivered late by a day or two.",NEGATIVE,0.9250218868255615,23
20085,Rylan Mack,False,True,Low,Low,1,1: Low : Low,Rylan Mack is a danger to his position.,NEGATIVE,0.8953311443328857,8
20085,Rylan Mack,False,True,Low,Low,1,1: Low : Low,He has shown recklessness and apathy in his ability to complete tasks.,NEGATIVE,0.9088456630706787,12
20085,Rylan Mack,False,True,Low,Low,1,1: Low : Low,He does not work well in a team setting.,NEGATIVE,0.998439371585846,9
20085,Rylan Mack,False,True,Low,Low,1,1: Low : Low,Mr. Mack shows no motivation and I suggest he be moved out of our department.,NEGATIVE,0.9997575879096985,15
20087,Rylan Mack,False,True,Low,Low,1,1: Low : Low,Rylan's miserable run continues this quarter as well.,NEGATIVE,0.9995788931846619,8
20087,Rylan Mack,False,True,Low,Low,1,1: Low : Low,He has not been able to achieve a single target.,NEGATIVE,0.9999309778213501,10
20087,Rylan Mack,False,True,Low,Low,1,1: Low : Low,"In fact, he had done the opposite by losing some key customer accounts due to improper response.",NEGATIVE,0.9985395669937134,17
20087,Rylan Mack,False,True,Low,Low,1,1: Low : Low,I am afraid we need to take a hard stance on Rylan's future with this organization.,NEGATIVE,0.9984472393989563,16
20087,Rylan Mack,False,True,Low,Low,1,1: Low : Low,"Unless of course, he realizes his work ethics or lack a lack thereof and does something about it on an urgent basis.",POSITIVE,0.9966098666191101,22
20088,Rylan Mack,False,True,Low,Low,1,1: Low : Low,Ryan Mack is the worst.,NEGATIVE,0.9999735355377197,5
20088,Rylan Mack,False,True,Low,Low,1,1: Low : Low,No one here is going to tell you a single thing good that he can do.,POSITIVE,0.9830670952796936,16
20088,Rylan Mack,False,True,Low,Low,1,1: Low : Low,"The simplest of tasks leave him confused and needing help, that is to say if he even shows up for work.",NEGATIVE,0.9998340606689453,21
20088,Rylan Mack,False,True,Low,Low,1,1: Low : Low,The time and money invested in him could be better used elsewhere.,NEGATIVE,0.9998847246170044,12
20099,Blake Booth,True,True,Low,Low,1,1: Low : Low,"For the past quarter, Blake has had tremendous opportunities to showcase his abilities and prove his worth to the management, but sadly, he has let the opportunity go begging.",NEGATIVE,0.9955794215202332,29
20099,Blake Booth,True,True,Low,Low,1,1: Low : Low,He failed in the most basic customer satisfaction surveys which shows that his customers are not at all happy with the service he is providing.,NEGATIVE,0.9997193217277527,25
20099,Blake Booth,True,True,Low,Low,1,1: Low : Low,"Although, he has managed to retain some customers, he has not been able to add any new customers to his portfolio.",NEGATIVE,0.9537336230278015,21
20099,Blake Booth,True,True,Low,Low,1,1: Low : Low,He should really improve his consistency in his results to be considered for better benefits and roles.,NEGATIVE,0.9994471669197083,17
20100,Blake Booth,True,True,Low,Low,1,1: Low : Low,Blake Booth is a haphazard worker.,NEGATIVE,0.5932279825210571,6
20100,Blake Booth,True,True,Low,Low,1,1: Low : Low,He does not show a excitement for his tasks.,NEGATIVE,0.9984595775604248,9
20100,Blake Booth,True,True,Low,Low,1,1: Low : Low,He often shows signs of laziness and underperforms regularly.,NEGATIVE,0.9999303817749023,9
20100,Blake Booth,True,True,Low,Low,1,1: Low : Low,"He does, however, show some signs of possible improvement for the future.",NEGATIVE,0.924832284450531,12
20126,Brayden Harding,False,True,Low,Low,1,1: Low : Low,Brayden Harding is undoubtedly a shallow member of the team in contrast to the more well equipped.,NEGATIVE,0.8780313730239868,17
20126,Brayden Harding,False,True,Low,Low,1,1: Low : Low,The level at which he works is not to a good standard.,NEGATIVE,0.9999502897262573,12
20126,Brayden Harding,False,True,Low,Low,1,1: Low : Low,We have yet to see better work from him.,NEGATIVE,0.9986674785614014,9
20126,Brayden Harding,False,True,Low,Low,1,1: Low : Low,So far it is less than satisfactory.,NEGATIVE,0.9999212026596069,7
20127,Brayden Harding,False,True,Low,Low,1,1: Low : Low,Brayden has been a member of our team for some time now.,POSITIVE,0.9996201992034912,12
